Cluster,Keyword,Monthly_Searches,Competition,Search_Intent,Target_Page,Priority
Digital Menu Board,digital menu board,5000,High,Transactional / Commercial,/#features,P0
Digital Menu Board,digital menu boards for restaurants,5000,High,Commercial,/blog/how-to-build-digital-menu-board-with-android/,P0
Digital Menu Board,electronic menu board,5000,High,Commercial,/blog/how-to-build-digital-menu-board-with-android/,P1
Digital Menu Board,menu display board,5000,High,Commercial,/#features,P1
Signage Player,digital signage player,5000,High,Commercial / Solution,/,P0
Signage Player,android digital signage player,500,High,High-Intent Solution,/,P0
Signage Player,android signage player,500,High,High-Intent Solution,/,P0
Signage Player,digital signage media player,5000,High,Commercial,/#features,P1
Hardware & TV,digital signage on tv,5000,High,Informational / How-to,/blog/setup-offline-digital-signage-player-lan-control/,P0
Hardware & TV,digital signage android tv,50,High,Solution / Tutorial,/blog/setup-offline-digital-signage-player-lan-control/,P1
Hardware & TV,tablet signage,500,Low,Solution,/#screenshots,P1
Offline / Local,local digital signage,300,Medium,Problem Solving,/,P0
Offline / Local,offline digital signage player,300,Medium,Problem Solving,/blog/kiosk-mode-and-multi-screen-signage-sync-guide/,P0
